Name of Program,Duration,Fee per Semester
Master of Business Administration (under CASSM),2 Years,139900/- INR
"B.Sc - (Computer Science, Statistics and Mathematics)",4 Years,38150/- INR
B.Sc - (Forensic Science),4 Years,63150/- INR
B.Sc - (Hons.) (Medical Lab Technology),4 Years,66000/- INR
B.Sc - (Hons.) (Medical Lab Technology) - Lateral Entry,3 Years,66150/- INR
B.Sc - (Hons.) Mathematics,4 Years,45650/- INR
B.Sc - (Microbiology ),4 Years,55650/- INR
B.Sc - (Nutrition & Dietetics),4 Years,70150/- INR
B.Sc - Chemistry (Hons.),4 Years,45650/- INR
B.Sc - Medical,4 Years,39650/- INR
B.Sc - Physics (Hons.),4 Years,45650/- INR
Bachelor of Architecture,5 Years,105450/- INR
Bachelor of Arts (Journalism and Mass Communication) (ITP),3 Years,74150/- INR
Bachelor of Arts - Economics,4 Years,50150/- INR
Bachelor of Arts - Journalism and Mass Communication,4 Years,74150/- INR
Bachelor of Arts - Psychology (Hons.),4 Years,60150/- INR
Bachelor of Business Administration (Hons./Hons. with Research) (FinTech),4 Years,81150/- INR
Bachelor of Business Administration (Hons./Hons. with Research) (Logistics and Supply Chain Management),4 Years,81150/- INR
Bachelor of Business Administration + Master of Business Administration (Integrated),5 Years,99950/- INR
Bachelor of Commerce (B.Com) - Hons ITP (Study in Australia),3 Years,75150/- INR
Bachelor of Commerce (Hons) General/ Auditing & Taxation/ Advanced Cost & Management Accounting/E-Commerce),4 Years,75150/- INR
Bachelor of Commerce (In association with Association of Chartered Certified Accountants),4 Years,93150/- INR
Bachelor of Commerce + Bachelor of Law (B.Com. + LLB(Hons)) - Integrated,5 Years,87950/- INR
Bachelor of Computer Applications,4 Years,73150/- INR
Bachelor of Computer Applications (Hons./Hons. with Research) (Data Science),4 Years,75150/- INR
Bachelor of Computer Applications (User Interface/ User Experience Design),4 Years,75150/- INR
Bachelor of Computer Applications - Augmented Reality and Virtual Reality,4 Years,75650/- INR
Bachelor of Computer Applications - ITP (Study in USA),3 Years,73150/- INR
Bachelor of Design (Fashion),4 Years,95500/- INR
Bachelor of Design (Industrial),4 Years,92500/- INR
Bachelor of Design (Interior),4 Years,95500/- INR
Bachelor of Engineering (Aerospace Engineering),4 Years,120500/- INR
Bachelor of Engineering (Biotechnology),4 Years,102500/- INR
Bachelor of Engineering (Biotechnology)- Lateral Entry,3 Years,102650/- INR
Bachelor of Engineering (Computer Science & Engineering) - Lateral Entry,3 Years,136350/- INR
Bachelor of Engineering (Computer Science and Engineering) (Computer Science and Business Systems) (In association with TCS),4 Years,125500/- INR
Bachelor of Engineering (Computer Science and Engineering) (Hons.) (Big Data and Analytics) (Lateral Entry) (In association with IBM),3 Years,145650/- INR
Bachelor of Engineering (Computer Science and Engineering) (Hons.) (with Specialization in Artificial Intelligence and Machine Learning) (In association with IBM),4 Years,159000/- INR
Bachelor of Engineering (Computer Science and Engineering) (Hons.) (with specialization in Artificial Intelligence and Machine Learning) (In association with IBM) (Lateral Entry),3 Years,159150/- INR
Bachelor of Engineering (Computer Science and Engineering) (Hons.) (with Specialization in Internet of Things) (In association with IBM),4 Years,145500/- INR
Bachelor of Engineering (Computer Science and Engineering) (Hons.) (with Specialization in Internet of Things) (In association with IBM) (Lateral Entry),3 Years,145650/- INR
Bachelor of Engineering (Computer Science and Engineering) (with Specialization in Full Stack Development),4 Years,143000/- INR
Bachelor of Engineering (Hons.) (Computer Science and Engineering) (Cyber Security) (In association with IBM),4 Years,145500/- INR
Bachelor of Engineering (Hons.) (Computer Science and Engineering) (Cyber Security) (In association with IBM) (ITP),4 Years,145500/- INR
Bachelor of Engineering (Hons.) (Computer Science and Engineering) (Data Science) (In association with IBM),4 Years,145500/- INR
Bachelor of Engineering (Hons.) (Computer Science and Engineering) (Data Science) (In association with IBM) (ITP),4 Years,145500/- INR
Bachelor of Engineering (Information Technology) (ITP),4 Years,108500/- INR
Bachelor of Engineering - (Aerospace Engg.) - Lateral Entry,3 Years,120650/- INR
Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,3 Years,102650/- INR
Bachelor of Engineering - (Civil Engineering)-Lateral Entry,3 Years,102650/- INR
Bachelor of Engineering - Computer Science & Engineering,4 Years,136200/- INR
Bachelor of Engineering in Computer Science and Engineering (Hons.) IBM - BIG DATA AND ANALYTICS,4 Years,145000/- INR
Bachelor of Engineering in Computer Science and Engineering (Hons.) IBM - BIG DATA AND ANALYTICS – ITP,4 Years,145000/- INR
Bachelor of Engineering in Computer Science and Engineering (Hons.) IBM - INFORMATION SECURITY,4 Years,145000/- INR
Bachelor of Engineering in Computer Science and Engineering (Hons.) IBM - INFORMATION SECURITY – ITP,4 Years,145000/- INR
Bachelor of Engineering in Computer Science and Engineering (Hons.) IBM- Information Security -Lateral Entry,3 Years,145650/- INR
Bachelor of Engineering in Computer Science and Engineering (Hons.) IBM-CLOUD COMPUTING,4 Years,145500/- INR
Bachelor of Engineering in Computer Science and Engineering (Hons.) IBM-Cloud Computing -Lateral Entry,3 Years,145650/- INR
Bachelor of Engineering – (Mechanical Engineering) – ITP (Study in USA),4 Years,102500/- INR
Bachelor of Engineering – (Mechanical Engineering)(Lateral Entry) – ITP (Study in USA),3 Years,102650/- INR
Bachelor of Engineering- (Chemical Engineering)- Lateral Entry,3 Years,84650/- INR
Bachelor of Engineering- (Electrical Engineering),4 Years,102500/- INR
Bachelor of Engineering- (Electrical Engineering)- ITP (Study in USA),4 Years,102500/- INR
Bachelor of Engineering- (Electrical Engineering)- Lateral Entry,3 Years,102650/- INR
Bachelor of Engineering- (Electrical Engineering)-(Lateral Entry)-ITP (Study in USA),3 Years,102650/- INR
Bachelor of Engineering- (Electronics and Communication Engineering),4 Years,105500/- INR
Bachelor of Engineering- (Electronics and Communication Engineering) (ITP),4 Years,105500/- INR
Bachelor of Engineering- (Electronics and Communication Engineering)- Lateral Entry,3 Years,105650/- INR
Bachelor of Engineering- (Food Technology),4 Years,102500/- INR
Bachelor of Engineering- (Food Technology)- Lateral Entry,3 Years,102650/- INR
Bachelor of Engineering- (Information Technology),4 Years,108500/- INR
Bachelor of Engineering- (Information Technology)- Lateral Entry,3 Years,108650/- INR
Bachelor of Engineering- (Mechanical Engineering),4 Years,102500/- INR
Bachelor of Engineering- (Mechanical Engineering)- Lateral Entry,3 Years,102650/- INR
Bachelor of Engineering- (Mechatronics),4 Years,102500/- INR
Bachelor of Engineering- (Mechatronics)- Lateral Entry,3 Years,102650/- INR
Bachelor of Engineering- Automobile Engineering,4 Years,102500/- INR
Bachelor of Engineering- Chemical Engineering,4 Years,84500/- INR
Bachelor of Engineering- Civil Engineering,4 Years,102500/- INR
"Bachelor of Engineering- Civil Engineering (Lateral Entry)– ITP (Study in USA, Australia)",3 Years,102650/- INR
"Bachelor of Engineering- Civil Engineering - ITP (Study in USA, Australia)",4 Years,102500/- INR
"Bachelor of Engineering- Computer Science & Engineering - ITP (Study in USA, Australia)",4 Years,136200/- INR
